cgpa,easySolved,mediumSolved,hardSolved,contestRating,projectsCount,internshipsCount,certifications,branch,semester,communityActivityScore,placed,packageBand
8.35,258,155,26,976.0,5,0,2,EEE,8,28,True,high
7.65,212,154,24,1136.0,2,2,0,MECH,6,92,True,high
8.51,156,50,39,1757.0,2,1,4,MECH,7,87,True,high
9.48,44,63,37,1265.0,7,0,2,CSE,7,45,True,high
7.54,318,51,22,1578.0,4,0,3,IT,8,30,True,high
7.54,35,37,28,1393.0,7,0,3,EEE,6,23,True,high
9.54,247,99,14,1230.0,5,3,5,ECE,8,14,True,high
8.64,23,192,2,984.0,1,2,1,EEE,7,75,True,high
7.28,54,145,9,1458.0,6,0,4,CSE,7,19,True,high
8.4,225,190,14,1764.0,7,0,2,CSE,5,3,True,high
7.29,242,50,15,1237.0,6,1,5,CIVIL,6,57,True,high
7.29,202,136,16,1417.0,7,2,2,CSE,7,76,True,high
8.07,60,140,18,1020.0,7,1,0,ECE,5,60,True,high
5.7,223,167,10,1232.0,3,2,5,ECE,6,9,True,high
5.9,160,54,47,1485.0,3,0,2,CSE,8,40,True,mid
7.18,284,108,4,1586.0,7,3,4,ECE,6,52,True,high
6.69,347,170,4,1539.0,0,1,2,IT,5,86,True,high
8.15,85,43,13,892.0,1,3,1,CSE,7,70,True,high
6.8,229,109,49,1286.0,7,3,3,EEE,5,75,True,high
6.25,196,195,25,1158.0,3,3,3,MECH,7,47,True,high
9.41,298,160,7,1323.0,6,2,5,ECE,7,14,True,high
7.55,37,151,4,1372.0,1,2,2,CSE,6,6,True,high
7.87,189,163,6,1667.0,5,3,2,ECE,7,71,True,high
6.23,262,127,15,1474.0,1,0,2,IT,5,70,False,none
7.2,135,104,13,1754.0,3,0,2,CSE,8,42,True,high
7.92,186,9,36,1225.0,6,3,1,EEE,8,3,True,high
6.53,46,99,40,1046.0,1,1,4,IT,5,50,True,mid
8.21,108,147,3,1764.0,2,1,1,MECH,8,70,True,high
7.14,107,108,35,1508.0,0,2,1,EEE,7,58,True,high
7.48,136,107,47,1214.0,4,1,1,IT,6,40,True,high
7.14,177,139,16,1509.0,6,0,3,CSE,6,60,True,high
9.84,89,189,46,1609.0,3,3,1,MECH,6,29,True,high
7.79,303,145,35,1430.0,5,1,2,ECE,8,17,True,high
6.64,342,93,5,1218.0,4,3,1,CSE,6,29,True,high
8.7,135,62,15,1290.0,0,1,2,ECE,5,6,True,mid
6.46,319,83,28,1473.0,6,2,5,CSE,6,51,True,high
8.03,159,24,35,1450.0,7,0,4,CSE,7,47,True,high
5.64,25,11,37,1703.0,6,2,3,CSE,8,22,True,high
6.34,37,148,36,1331.0,2,3,4,CSE,7,36,True,high
8.02,182,24,47,1159.0,2,0,5,CSE,6,70,True,high
8.61,55,10,47,2044.0,2,0,4,MECH,6,92,True,high
7.99,337,63,9,1444.0,2,2,3,CSE,6,97,True,mid
7.67,245,125,40,1609.0,3,1,2,ECE,5,52,True,high
7.47,223,49,35,1530.0,6,2,5,EEE,7,44,True,high
6.17,94,189,28,1447.0,3,3,5,CSE,5,48,True,high
7.01,291,88,13,1343.0,1,1,2,IT,8,48,True,mid
7.29,241,98,3,800.0,5,2,2,CIVIL,7,81,True,high
8.96,94,115,43,1134.0,1,2,3,CSE,8,46,True,high
8.18,74,95,41,1482.0,5,1,1,IT,8,24,True,high
5.86,143,176,35,800.0,0,1,0,EEE,8,90,False,none
8.16,160,13,49,1418.0,7,1,1,CSE,5,26,True,high
7.38,124,0,44,1565.0,1,2,1,EEE,8,11,True,high
7.06,73,24,12,1608.0,0,1,4,EEE,7,22,True,mid
8.47,167,186,45,1550.0,7,1,0,EEE,7,16,True,high
8.93,86,71,17,1640.0,0,1,2,EEE,5,43,True,high
8.82,155,68,32,1801.0,0,0,1,CSE,5,70,True,high
6.88,234,132,20,1674.0,2,3,3,IT,8,23,True,high
7.46,322,104,15,1449.0,4,1,1,CIVIL,6,70,True,high
8.16,112,146,14,1366.0,4,3,2,EEE,5,92,True,high
8.87,310,22,4,1429.0,3,1,1,CSE,6,59,True,high
7.27,97,8,5,1331.0,0,1,5,ECE,8,52,False,none
7.6,312,117,37,1679.0,2,0,4,EEE,6,91,True,high
6.58,177,93,2,1543.0,1,0,4,CIVIL,8,86,True,high
6.48,179,177,47,1305.0,1,1,1,IT,6,73,True,high
8.69,144,143,11,1731.0,3,1,4,IT,6,15,True,high
9.29,59,32,35,1327.0,3,1,3,ECE,6,97,True,high
7.72,349,129,32,1164.0,0,3,0,CIVIL,7,24,True,high
8.9,143,13,35,1397.0,7,1,1,CSE,6,65,True,high
8.2,146,0,32,1194.0,0,3,3,CSE,6,49,True,mid
7.09,254,89,30,1634.0,7,0,5,CSE,6,68,True,high
8.2,118,185,20,1189.0,1,3,3,CIVIL,6,77,True,high
9.49,322,88,26,1371.0,1,1,3,IT,7,94,True,high
7.76,296,143,26,1635.0,1,0,5,CSE,6,39,True,high
9.52,30,89,7,1222.0,1,2,2,CSE,5,5,True,high
5.5,99,174,36,1503.0,4,0,1,IT,5,63,True,mid
8.7,305,171,31,1157.0,0,2,1,ECE,6,27,True,high
7.9,121,13,25,1461.0,0,3,1,ECE,8,8,True,mid
7.47,310,151,1,1542.0,1,0,0,ECE,6,5,True,low
7.9,86,110,11,1389.0,2,0,3,EEE,5,16,False,none
5.61,186,182,21,1408.0,1,0,1,IT,6,39,True,low
7.56,157,142,16,1511.0,5,3,4,CSE,7,98,True,high
8.19,110,82,6,1330.0,6,1,2,CSE,7,75,True,high
9.43,255,71,42,1622.0,6,3,5,CSE,6,44,True,high
7.23,126,161,3,1743.0,3,0,5,CSE,7,81,True,high
6.91,101,129,36,1169.0,5,1,0,ECE,7,42,True,mid
7.25,37,26,37,1842.0,2,0,5,IT,5,97,True,high
8.81,34,73,31,1324.0,3,0,2,EEE,5,45,True,high
8.16,67,98,10,1899.0,6,2,3,IT,7,62,True,high
7.22,306,71,0,1328.0,2,0,5,IT,7,0,True,mid
8.36,143,22,24,1577.0,3,3,5,ECE,8,58,True,high
7.91,340,67,41,1576.0,1,3,4,ECE,6,62,True,high
8.87,258,141,23,1303.0,7,3,3,EEE,7,78,True,high
7.03,47,190,42,1418.0,1,1,1,CSE,5,17,True,mid
7.44,84,116,16,1760.0,2,2,2,EEE,8,85,True,high
7.37,151,105,7,1319.0,3,2,5,ECE,7,81,True,high
6.19,331,92,44,1296.0,4,0,4,EEE,7,64,True,high
8.13,177,64,26,1112.0,2,0,2,ECE,5,19,True,mid
8.09,268,67,17,1792.0,7,2,0,CSE,5,55,True,high
7.81,234,127,26,1280.0,2,1,4,EEE,7,53,True,high
7.54,161,62,21,1700.0,7,3,0,CSE,5,47,True,high
6.24,28,112,15,1250.0,5,0,5,CSE,5,99,True,mid
7.34,155,89,1,1692.0,0,2,4,EEE,5,53,True,high
7.42,250,80,4,1602.0,2,1,1,CSE,5,88,True,high
